Brand,Material,Color,ID,InitialWeight,CurrentWeight,LastDried
Cookiecad,PETG,Blue,NA,0,150,Never
Creality,PLA,White,NA,1000,500,Never
eSUN,ABS,Black,NA,750,500,2026-07-31
Bambu Lab,PLA,Pink,NA,400,400,2026-07-31
Elegoo,PLA,Blue,NA,190,190,Never
Bambu Lab,PLA,White,NA,1000,1000,Never
Bambu Lab,PLA,Black,NA,1000,1000,Never
Bambu Lab,PLA,Blue,NA,1000,1000,Never
Bambu Lab,PLA,Red,NA,1000,1000,Never
Bambu Lab,PLA,Yellow,NA,1000,1000,Never
Bambu Lab,PLA,Pink,NA,1000,1000,Never
Elegoo,PA-CF,Diamond Gray,NA,1000,1000,Never
Elegoo,PA-CF,Matte Black,NA,1000,1000,Never
